,Fase 1,Fase 1,Fase 2,Fase 2,Fase 3,Fase 3
,Promedio,Desviación Estándar,Promedio,Desviación Estándar,Promedio,Desviación Estándar
0,-0.07673732503666657,49.12115143197621,-0.029965437899999687,50.72258669704321,-0.053624843913853554,41.172201183635515
1,-0.040717976913333336,42.637606848466575,-0.023888748119999918,45.50189693807383,-0.03521758247472504,36.06399740449883
2,-0.042220832516666654,29.541987169731502,-0.017519136999999935,27.289445242958156,-0.037338943610187976,22.686988068801224
3,-0.047847061829999885,35.96776374219759,-0.07508208048000001,39.061063495510666,-0.04724877314408952,31.874643873592913
4,-0.034636479860000007,18.076833615162652,-0.04373936774000004,10.72324463517403,-0.029058205919313615,9.909996488346227
5,-0.036715961076666644,22.555652671216922,-0.10935994274000001,16.874625211541286,-0.023931913110289634,16.40039555947764
6,-0.03043737559666669,32.12260436287541,-0.10592841890000013,30.61082506527799,-0.030048204745984235,28.54705279148637
7,-0.038964262939999994,40.82932399941895,-0.07566401507999995,42.69167757817303,-0.04119607935973557,36.94560431254329
8,-0.049731796170000016,37.91717697209413,-0.0328955935199999,40.78500719732108,-0.05734058424471914,34.81252375577304
9,-0.05700530686000004,49.061949410572915,-0.023037187740000034,48.93563757711895,-0.05126752560824801,43.07434229356133
10,-0.03683125120333333,42.616176241895566,-0.014959715339999902,47.64647554662514,-0.04203733404888652,39.66301336731093
11,-0.0379492968666667,50.10428099963533,-0.031117883960000065,50.506411239525086,-0.04667250216832615,45.77238710694474
12,-0.07866397662000003,62.84288828452902,0.01546289843999989,52.97618962261521,-0.05848367608774643,54.03420355711931
13,-0.05651022009666672,58.57071975586467,-0.010085615919999982,52.26518588216645,-0.05510933287222373,50.67449760961609
14,-0.051685703730000074,57.85841435904881,-0.012436191659999858,49.20373085080592,-0.03755961526461587,49.424693474082105
15,-0.051657032353333236,44.13801231573388,-0.02556395603999993,46.137201299494905,-0.05883139641201198,40.516102496570355
16,-0.049239684959999974,52.069281539830534,-0.037538471500000226,42.625746115537936,-0.047350732414225404,45.77795239037861
17,-0.04032936566000007,55.859523444521386,-0.037470072859999974,45.002157185697754,-0.04407320367265442,50.771506330837546
18,-0.050323756660000045,53.72955508715179,0.002336665019999846,43.92918024260273,-0.06175498498338346,49.75501249325411
19,-0.04935230886666668,52.520152257272834,-0.012384565959999745,50.16819451053759,-0.06369743415188613,49.85700720939185
20,0.07125274813333338,43.98193535643653,0.12269430371999994,40.95302357488707,0.060147391688694325,40.997237875965915
21,-0.11981227621333344,186.9016822147161,-0.23192228264000106,221.4056687583103,-0.10783383832720556,174.1264729531301
